"","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","Pr..F."
"line",27052.3038701005,1352.61519350503,20,130.088412206848,1.70487490015368,0.0401106003766081
"sex",504.647680286248,504.647680286248,1,26777.8148671955,0.636072378657342,0.425143706540985
"density",6300.25719548654,6300.25719548654,1,152.037539283078,7.94102447516068,0.00547552050576295
"line:sex",31443.3949164305,1572.16974582152,20,26781.8174097262,1.9816077412871,0.00558397382968998
"line:density",15562.8786856771,778.143934283857,20,125.45942666937,0.98079488433785,0.489613530983996
"sex:density",984.869893135561,984.869893135561,1,26781.2141466314,1.24135819912895,0.265219455010479
"line:sex:density",20677.279475016,1033.8639737508,20,26778.0304117995,1.3031117404895,0.163894565721529
