"","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","Pr..F."
"line",1927.05504353388,481.76376088347,4,37.241992386239,1.49059019113373,0.224742959603497
"sex",2891.15543795477,2891.15543795477,1,3643.18398891687,8.94531363038894,0.00280044986805264
"density",421.116972567483,421.116972567483,1,99.338179805995,1.30294737710846,0.256419712677
"line:sex",1615.13727259678,403.784318149196,4,3941.67199566413,1.24931967249483,0.287771835647122
"line:density",634.25663570338,158.564158925845,4,31.4838293697895,0.490601824277532,0.742581508176482
"sex:density",18.4002210864882,18.4002210864882,1,2635.10037038126,0.0569307849472005,0.811432977734299
"line:sex:density",889.832300596782,222.458075149195,4,3593.72499185515,0.688291340444115,0.599994045970596
