"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",234.024708102052,7.79537271514666,65.1743496150802,30.0209773994943,7.00237564313433e-40
"line2",-6.47454413834898,18.062802774169,38.6272515782933,-0.358446262149747,0.721961038742608
"line9",16.3713374640991,11.5903849419556,49.9531543669066,1.41249298846298,0.164005001523356
"line14",3.39048788851267,13.5006637660463,49.9878050488991,0.25113490323636,0.802739305514656
"line17",-9.44598815818431,10.1435512886547,57.4049900700381,-0.931230876581593,0.355634113796916
"line19",9.08357977571586,12.4389470059009,53.6815926294288,0.730253113178043,0.468410516637898
"sex2",-11.6324483143071,5.75374433533162,6224.59210551913,-2.02171796944063,0.043248199769923
"density",-0.00211547006683325,0.100382613451613,54.9749970737112,-0.0210740684476496,0.983262874866318
"line2:sex2",7.48266883409858,8.01890571296933,6218.53665826962,0.933128421998595,0.350789894528169
"line9:sex2",9.99760846635232,7.43980863425225,6230.41108682955,1.34379914294088,0.17906228092512
"line14:sex2",0.612346809514122,8.51467651190229,6218.13739335859,0.0719166263871739,0.94267057127111
"line17:sex2",9.82216729765547,7.14768487813573,6223.39625538555,1.37417464047706,0.169436956974772
"line19:sex2",7.2997639302153,7.8952019587193,6221.53858372862,0.924582292939775,0.3552190856578
"line2:density",0.0933755289884216,0.116095893942459,48.416116200838,0.804296567410915,0.425157476451504
"line9:density",0.0146688500701808,0.12026249134968,49.3795889114295,0.121973608774901,0.903414961267955
"line14:density",0.117338756631956,0.148631526745792,47.4835532535157,0.789460750360472,0.433767331453451
"line17:density",0.169869549691093,0.114507763305144,51.4497747523683,1.48347627084829,0.144048425670278
"line19:density",0.0512210055693061,0.122323621045172,51.1379491755445,0.418733562100741,0.677164389271024
"sex2:density",0.0741988795720106,0.0652781081795623,6219.90379685097,1.13665793389584,0.255725100433387
"line2:sex2:density",-0.0770130491525066,0.06810343303366,6219.24420004475,-1.13082477229075,0.258172456423876
"line9:sex2:density",-0.100881828358175,0.0729244475497042,6223.43164066718,-1.38337459861339,0.166599655552574
"line14:sex2:density",-0.0505020834205263,0.0876923041773404,6216.51976545978,-0.575900974370519,0.564702963980069
"line17:sex2:density",-0.108355885804096,0.0719253126418011,6219.59546834878,-1.5065055934303,0.13198821736074
"line19:sex2:density",-0.0892244177732213,0.0746187505937902,6219.40033328747,-1.19573722507016,0.231844707003017
