"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",271.106132176241,2.24718379856206,110.854733677632,120.64261603778,1.94396071615286e-119
"line4",22.7357814928956,3.46340016531132,114.937833652723,6.56458405257712,1.57278562435663e-09
"line5",-4.18289810455118,3.93456467479321,115.73649856768,-1.06311585913149,0.289942585381688
"line6",-5.72330098228165,3.15316141132518,107.405700571617,-1.81509927202753,0.0722992391453552
"line8",9.20177346056177,4.04844469569552,128.728296707484,2.27291568792961,0.0246885130468108
"line9",17.9865319020767,3.17350659026762,110.207261861194,5.66771531442129,1.17323882852389e-07
"line10",3.52904413872164,3.22760611241174,117.751491548868,1.09339368430079,0.276452768864615
"line11",5.60494942962683,3.18858193775784,112.330686654806,1.75781884832733,0.0815023261861912
"line12",21.2153391961335,3.17389209402789,109.514349587878,6.6843290721991,1.00994089214261e-09
"line13",16.9945962531824,4.34474824223694,115.18904019824,3.91152612433823,0.000155516045691397
"line14",13.8983531530405,3.24768731501212,105.382527926051,4.27946159988885,4.13832553492149e-05
"line15",-3.01781664315223,3.22981165083014,103.098028047947,-0.934363043237081,0.352299925739532
"line16",1.57758292429541,3.48305787049343,117.457628977254,0.452930437263139,0.651434377516549
"line17",2.39010216372447,3.77227785383142,129.608448816375,0.633596531415864,0.527460688369059
"line18",1.80786640970177,3.23464651034838,118.852866550725,0.558906948230044,0.57727678893052
"line19",16.2545179207194,3.27462504940738,108.870915128569,4.96377987570243,2.57315463739026e-06
"line20",15.3203704456996,3.23492433545134,103.678456244044,4.7359285278498,6.94501515025373e-06
"line21",11.9558883434789,3.35950014399692,120.442168691632,3.55882953743665,0.000533960428498231
"sex2",-5.10498523385783,1.17411983620645,9407.36359342547,-4.34792520868388,1.3887789380462e-05
"line4:sex2",2.95331338535723,1.91117571692734,9408.80394119355,1.54528616034603,0.122310693359404
"line5:sex2",-1.09765594698266,2.24548744371672,9414.22734292357,-0.488827470424783,0.624975235013698
"line6:sex2",3.18519249067943,1.53561130293241,9410.61531111075,2.07421792519824,0.0380862011051469
"line8:sex2",3.34661334758602,3.12276941827688,9488.28146183471,1.07168122244282,0.28389049531604
"line9:sex2",0.1946226377021,1.63294536678548,9407.52490805201,0.119185027044244,0.905131313625935
"line10:sex2",1.26411641813777,1.80086983365558,9422.2614390249,0.701947689118511,0.482729125164041
"line11:sex2",-2.20591760513516,1.62887000108093,9411.76393189419,-1.35426252780841,0.175685149110123
"line12:sex2",3.0903170055581,1.56431944681317,9432.61385003042,1.97550251763071,0.0482402517438459
"line13:sex2",4.3261761876632,2.33854222405414,9407.05168136659,1.84994572394903,0.0643527127573982
"line14:sex2",-0.0733769973539971,1.5614765851025,9412.59400349472,-0.0469920574244027,0.962520554731535
"line15:sex2",2.25080134654637,1.48079122891871,9407.21749137207,1.51999910763243,0.128544807498273
"line16:sex2",-1.51859387115034,1.99247338061333,9408.38115917291,-0.76216519925746,0.445980519479283
"line17:sex2",-0.381580444035932,2.26584299463214,9446.00204530342,-0.16840550953438,0.866267879558318
"line18:sex2",-1.53623564398799,1.79465358554516,9427.39269093204,-0.856006783906058,0.39201578294218
"line19:sex2",2.98233116298802,1.65324061478854,9414.93983846725,1.80393049645074,0.0712741532493741
"line20:sex2",1.23087445263301,1.48854476197296,9406.34976314983,0.826897842831122,0.408315941318597
"line21:sex2",4.2109762227415,1.85223018165115,9408.68930841778,2.2734626961902,0.023020747135492
