"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",233.359180036926,3.39166431328676,53.8599566951806,68.80373718671,3.57765047182652e-54
"line2",19.2609535252197,4.61899283722849,46.666099341277,4.16994661043397,0.000131049838889283
"line9",18.6814523334759,4.68109330541942,49.2076957675252,3.99083101203043,0.000218863142543276
"line14",15.0182962675976,4.71744466429026,50.7527150692448,3.18356596342973,0.00248550133567498
"line17",8.68529067816495,4.71663618774689,50.626467858157,1.8414162832249,0.0714229791516208
"line19",16.2680573804349,4.69022026462928,49.5637765940065,3.4685060535682,0.00109209470138286
"sex2",-5.46502252286296,1.93669907296885,6230.7687529048,-2.8218232760784,0.0047902687305247
"line2:sex2",0.521152342762852,2.15623966019201,6228.23833285175,0.241694999115472,0.809024461749659
"line9:sex2",0.151017641094159,2.4177585006154,6231.00989225619,0.0624618385400031,0.950197054423841
"line14:sex2",-3.09545596042683,2.51786023819042,6225.89351150002,-1.22939943745707,0.21896854022179
"line17:sex2",-0.797858583034064,2.50548732220776,6227.55697514724,-0.318444470248213,0.750158488725448
"line19:sex2",-1.05102402386178,2.38586496784634,6228.59885804745,-0.440521168643718,0.659574971288241
