"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",306.560319690111,2.03923496505355,127.158842850532,150.331043231235,4.54288056448411e-145
"line2",8.02388106626256,2.90647019264197,131.213933131666,2.76069614839879,0.00659431987012386
"line4",21.5652738130611,4.25732502533714,179.577744146604,5.06545158866589,1.00550562894133e-06
"line5",-1.9552303379072,3.17503662751542,137.102141187386,-0.615813474705403,0.539038620675661
"line6",7.08791970837553,3.60479588381555,201.921400040234,1.96624717094195,0.0506404358071004
"line7",11.830130545322,3.07082636055863,141.178993329877,3.8524257500414,0.000176850828932743
"line8",5.41827287859978,2.92070704813732,133.768219294743,1.85512370439729,0.0657798564507423
"line9",14.2194513150994,2.8731928342951,125.337005143124,4.94900695330041,2.35153312896119e-06
"line10",0.285561265049418,2.8709470297339,124.865386054053,0.0994658773191945,0.920927892846171
"line11",-3.52172214337288,2.88542504993213,127.42558567645,-1.22052109565477,0.224521193708257
"line12",25.3229754205841,4.24969586219621,178.135598070083,5.95877357856318,1.3290156152667e-08
"line13",13.6963927020532,2.89147945723685,128.440627161117,4.7368113467912,5.65872131443895e-06
"line14",6.65227709264029,2.98750287346463,145.461771748022,2.22670148762923,0.0275040847817646
"line15",3.022752855958,2.97060310464344,143.016841345554,1.01755527395533,0.310607643963979
"line16",-14.6601211293623,2.86187432171499,123.361737514111,-5.12255937241058,1.12767861559946e-06
"line17",12.0516305197281,3.0017606111837,148.660391824308,4.01485397430669,9.40439018948704e-05
"line18",9.33573706236069,3.01493027673088,151.690411877358,3.09650181114089,0.00233314459617626
"line19",15.6232759760557,2.88931158133539,128.149327932636,5.40726589578646,3.02127759458891e-07
"line20",-6.51712087898079,2.96526006565871,141.778096527902,-2.19782438459847,0.0295842046152479
"line21",-4.06412175504333,2.92749579399042,134.904122153149,-1.38825878533667,0.167346479442974
"sex2",-8.14228418593459,0.91425639972538,15369.4331941722,-8.90590887674435,5.87853209152285e-19
"line2:sex2",6.18325813723168,1.40237932636735,15364.0778008238,4.40911957340989,1.04496256357246e-05
"line4:sex2",8.73479789074079,3.30967013859084,15378.4418004256,2.63917475910751,0.00831919266741531
"line5:sex2",0.0823363195799725,1.69165040295875,15390.499918865,0.0486721839429492,0.961181175156456
"line6:sex2",3.18514943486609,2.67844929719457,15450.4779306009,1.18917667704303,0.234388425489081
"line7:sex2",1.54652754196083,1.63589128253867,15414.5487635809,0.94537305655229,0.344483270758984
"line8:sex2",8.74182735749784,1.474359228705,15385.3235109303,5.92923840221504,3.10857828362028e-09
"line9:sex2",-0.420218521239074,1.26068677072747,15364.9294515073,-0.333325082007952,0.73889345642867
"line10:sex2",3.50796691517146,1.24166723288816,15364.5265483805,2.82520696548609,0.00473109946536333
"line11:sex2",1.17471316650968,1.32797195760934,15364.1198060119,0.884591846822156,0.37639064830866
"line12:sex2",7.11951630350185,2.80235636333508,15398.2275948147,2.54054637613217,0.011077675019206
"line13:sex2",5.6205731009904,1.35202305214785,15370.4276058253,4.15715774376883,3.23977888453042e-05
"line14:sex2",4.35092067808484,1.81644060516439,15463.8073097134,2.39530027335579,0.0166185785003242
"line15:sex2",8.38231858719662,1.59156070253617,15381.3840269746,5.26672879886974,1.40746641428199e-07
"line16:sex2",2.68769579223099,1.23185922657603,15363.9103940244,2.18182056378429,0.0291378783531803
"line17:sex2",-1.50307828138448,1.69571595462816,15429.1298419954,-0.88639744013854,0.375417213333433
"line18:sex2",-1.18166619579057,1.80318109865547,15426.5578616148,-0.655323082452265,0.512269534260164
"line19:sex2",8.6484333780682,1.33474498009581,15364.7512027232,6.47946499671224,9.4849626386545e-11
"line20:sex2",11.0765184139786,1.62399242892318,15397.0290356264,6.82054806211327,9.40711690759628e-12
"line21:sex2",7.27265055336501,1.44756597721927,15371.7889502482,5.02405463227005,5.11595239880914e-07
