"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",246.296984738188,2.72832372195986,27.8890939042821,90.2741059485651,5.9207316496075e-36
"line2",6.01325935959212,3.95966126501233,30.2850917286553,1.51862974056024,0.139227177220052
"line9",-5.68590995012952,5.38167052064926,77.2272383786434,-1.05653252615761,0.294018885178227
"line14",14.5420585060908,4.08532046770532,34.5257344522063,3.55958819413229,0.00110542705720847
"line19",15.2407300485909,3.85668036906078,27.844687448703,3.95177421775881,0.000481792661781505
"sex2",-7.21748990380219,0.993908488908804,4121.82883587924,-7.26172478084593,4.54611390505077e-13
"line2:sex2",0.675538073399353,1.43946008269914,4122.3235303898,0.469299622489459,0.638880304579261
"line9:sex2",4.33832844467002,5.28856096762532,3210.05115457797,0.820323046520162,0.412092879909266
"line14:sex2",-6.00397994355252,2.34996891548323,4138.97762280918,-2.55491887743456,0.010656724677939
"line19:sex2",0.547797887600721,1.41049916289139,4121.78806564287,0.388371650272933,0.697761078695623
