"","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","Pr..F."
"line",3718.81467977726,743.762935955453,5,38.5022886505923,1.51134355269117,0.20896037964274
"sex",3398.52461230194,3398.52461230194,1,6220.36113977705,6.90588091065139,0.0086123674626841
"density",2764.9145185991,2764.9145185991,1,37.8727050951479,5.61837049067103,0.0229690819452309
"line:sex",1653.04128561905,330.608257123811,5,6221.05652894123,0.671803653712132,0.644833634051784
"line:density",2007.42669161891,401.485338323783,5,37.1235582415637,0.815827528157473,0.546129464943673
"sex:density",16.0211639172825,16.0211639172825,1,6218.72471811911,0.0325553770192759,0.856820030491626
"line:sex:density",1502.63263814798,300.526527629595,5,6219.84251288361,0.610676881017444,0.691757681659419
