"","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","Pr..F."
"line",9467.80581399026,591.737863374391,16,111.267948632833,2.01112989674801,0.0180959829557323
"sex",214.931646706695,214.931646706695,1,8580.21033835598,0.730484708185096,0.392749983623999
"density",169.084658464201,169.084658464201,1,242.709435944715,0.574665291451243,0.449146415612152
"line:sex",5580.83949182979,348.802468239362,16,8652.70097728517,1.1854693021255,0.27063490381891
"line:density",7863.00840239755,491.438025149847,16,95.8242170831684,1.6702424603043,0.0658199042115304
"sex:density",2144.39587833271,2144.39587833271,1,8114.01784378359,7.28812355657812,0.00695558225264669
"line:sex:density",4552.5526192263,284.534538701644,16,8626.18282655349,0.967042930423781,0.490423148050987
