"","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","Pr..F."
"line",9830.99400259557,578.293764858563,17,90.1474341621443,2.86790003532351,0.000660560117035499
"sex",854.667186643746,854.667186643746,1,9449.23819954208,4.23850334157575,0.0395443377330979
"density",3381.58833998575,3381.58833998575,1,89.6042693029821,16.77012257268,9.22831965519447e-05
"line:sex",2231.95350905109,131.291382885358,17,9426.79165597927,0.651106037269279,0.852843637352705
"line:density",6939.22940492028,408.189964995311,17,83.931592561828,2.02431374184895,0.0183699747002879
"sex:density",173.955166783502,173.955166783502,1,9456.11682894013,0.862686162775986,0.3530117861166
"line:sex:density",2401.47281133835,141.263106549314,17,9415.57903655168,0.700558250635423,0.805469797439707
