"","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","Pr..F."
"line",10958.3684908417,576.756236360092,19,112.650029914371,2.23949261717842,0.00481700799933268
"sex",2286.31936207424,2286.31936207424,1,15366.4939505367,8.87757254987111,0.00289146523885095
"density",285.066193124166,285.066193124166,1,127.429121776918,1.10688640132908,0.294750753754567
"line:sex",9337.08328043784,491.425435812518,19,15375.2425156411,1.90816078962813,0.00988282687122688
"line:density",4365.30274796634,229.752776208754,19,107.738197002725,0.892109375952217,0.593253586729585
"sex:density",24.4192110479233,24.4192110479233,1,15351.7382472548,0.0948176012872843,0.75814383217898
"line:sex:density",6443.89300373334,339.152263354386,19,15369.6511386,1.31689774986203,0.160064316763642
