"","Estimate","Std..Error","df","t.value","Pr...t.."
"(Intercept)",272.785186513735,12.5713451343428,129.839036717854,21.6989656714245,5.11992468335971e-45
"line2",22.3221903634915,17.1206291816207,157.108715576166,1.30381834257906,0.194202688085404
"line3",59.3977637819732,18.4379655546818,138.306315021852,3.22149228480856,0.00159008001928761
"line4",49.8368450634012,20.7393717668397,168.935727438703,2.40300649526355,0.0173441430840802
"line5",18.1715897777376,14.4570530913561,141.132554250145,1.25693595111735,0.210853056675389
"line6",6.02275486610546,33.7638915344258,206.873376931605,0.178378575229239,0.858600232944096
"line7",23.75716196076,16.8541081411622,164.562075317841,1.40957692698902,0.160551679896636
"line8",7.41074007453941,15.2400404897819,149.304912109417,0.48626774184151,0.627490310733785
"line9",44.1529443509849,16.2830852090572,144.318514691237,2.71158344896614,0.00750973612357504
"line10",12.7486857488742,20.2991930189868,152.148750060374,0.628039042584093,0.530919911626225
"line11",10.9981809513392,15.3176004989912,147.984792253684,0.718009387440511,0.473883489776971
"line12",10.551481186416,29.1001819721155,225.764227708909,0.362591587795796,0.71724920574886
"line13",35.8201842002535,15.4453235256189,133.017765078772,2.31916049805232,0.0219102813302339
"line14",24.8552270735578,14.6024325994382,148.581767050557,1.70212921061619,0.0908224806214989
"line15",52.3681069556302,14.8060142124076,136.536684495465,3.53694831062268,0.000553490927913908
"line16",28.4032016060653,15.1478916724698,129.942010099081,1.87505972581558,0.0630289927384298
"line17",39.2897705408258,14.9708042877443,139.56006791462,2.62442616880578,0.00964616376166037
"line18",26.6335151220976,16.6049367867574,181.835191421876,1.60395161174826,0.110460220708361
"line19",26.342097791044,15.7766661118168,132.989761442515,1.66968722062982,0.0973334735548236
"line20",24.9402676378311,13.8830514816407,147.438282129915,1.7964543076724,0.0744696556730592
"line21",18.7179157613271,14.253153561862,146.534773752043,1.31324732313358,0.191152300352431
"sex2",1.02914229851508,8.40356406025048,26753.9648397397,0.122464979279804,0.902531699508181
"density",0.130408975603208,0.0541665586984449,127.73063398203,2.40755511771052,0.0174893588076461
"line2:sex2",5.88444289749045,12.7590294475182,26767.5141624476,0.46119831619599,0.64466007697648
"line3:sex2",-27.9070963374374,12.8233927333632,26744.2243100448,-2.17626465302199,0.0295441978399588
"line4:sex2",-10.0241186812618,18.9202050058869,26756.6481142161,-0.529810257243139,0.596247888807715
"line5:sex2",-12.322173234507,10.461011624004,26763.6067935796,-1.17791411360565,0.238841321499434
"line6:sex2",42.5484907921851,33.9914914009639,26770.9399683222,1.25173945121392,0.210675756381869
"line7:sex2",-7.6219398949279,12.8008652274133,26749.7227187378,-0.59542380608815,0.551565253591732
"line8:sex2",-1.70134171264048,11.2994651405999,26771.7507209327,-0.150568340312624,0.880317371735813
"line9:sex2",-23.3908663853524,11.7479222744325,26756.9358517652,-1.99106410809842,0.0464839917617474
"line10:sex2",-4.59233010037785,15.0186437242685,26753.7700870768,-0.305775287348827,0.759778124749136
"line11:sex2",-6.1043939360788,11.433870929889,26745.1675147503,-0.533886902651791,0.593424221269945
"line12:sex2",15.9673999223842,25.8718616655753,26792.6484679844,0.61717243732909,0.537126238403235
"line13:sex2",-7.71298491963386,10.5917057152205,26748.7236377301,-0.728209896216258,0.466491483440493
"line14:sex2",7.07601882076481,10.9742810454016,26797.8809156418,0.64478199450977,0.519073991239732
"line15:sex2",-17.5340840152695,10.1995811580384,26775.8377972906,-1.71909843586575,0.0856080075462699
"line16:sex2",6.83190635872233,10.0592767118966,26750.0337348507,0.679164770429527,0.497039342744986
"line17:sex2",-21.9647825914205,10.5176087167605,26754.2386756262,-2.08838179694003,0.0367728385576503
"line18:sex2",-7.71257605666018,13.5907651065115,26763.6267566424,-0.567486524578737,0.570388439272768
"line19:sex2",2.3996437178499,10.6014826013637,26770.5247633994,0.226349823706849,0.820931078169802
"line20:sex2",0.514076142911992,10.0992960251921,26803.6678475899,0.0509021759169804,0.959403850927196
"line21:sex2",1.20081268936225,10.476127583541,26813.0719601552,0.11462371756992,0.908744237976574
"line2:density",-0.0825400576046838,0.0952159769453029,165.493595491417,-0.866871928984137,0.387267308246667
"line3:density",-0.142636663121246,0.0805599995505315,135.922586731533,-1.77056434852357,0.0788748513545888
"line4:density",-0.145002762901397,0.166223063121408,183.841793528872,-0.872338411881434,0.384161667539609
"line5:density",-0.0963389543153104,0.0677401684665199,140.946345542287,-1.42218356547084,0.157182184863215
"line6:density",0.279327134747887,0.374682878191882,218.708862211046,0.745502799849952,0.456768259198821
"line7:density",-0.0659573170447628,0.0947376067260614,179.864490213646,-0.696210505248267,0.487195691524123
"line8:density",-0.0402880233473107,0.0804809702316865,157.320321796658,-0.500590676669661,0.617358823200063
"line9:density",-0.156969619369501,0.0779329396705542,144.05325059103,-2.01416268952587,0.0458540855780911
"line10:density",-0.0591084734588612,0.108327248038133,155.31125564305,-0.545647328159336,0.586091216291413
"line11:density",-0.0450376688119193,0.0728017464742256,148.265708703971,-0.618634455807516,0.537106464337915
"line12:density",0.338555503963914,0.274047832398308,242.21370880011,1.23538836633398,0.217882910381233
"line13:density",-0.0628818338873851,0.0658041911339889,129.440357709915,-0.955590104577786,0.341060627936254
"line14:density",-0.102728330521259,0.0701331042144699,153.557721814068,-1.46476234970452,0.145030135446177
"line15:density",-0.177912785801901,0.0634445631671782,131.892136239604,-2.8042243010342,0.0058064518852579
"line16:density",-0.120653474701048,0.059182647416505,127.211232706326,-2.03866301978575,0.0435558340456901
"line17:density",-0.161364268231915,0.069777249874819,138.448921216602,-2.31256274102811,0.0222211362558356
"line18:density",0.0178686841875213,0.142157447213911,251.083924943341,0.125696434043539,0.900072811646583
"line19:density",-0.0530650784186708,0.0684630690795458,129.369801446046,-0.775090558049853,0.439700580520529
"line20:density",-0.0906141706974024,0.0709939998898149,162.377202663272,-1.27636378902497,0.203649462890676
"line21:density",-0.0603943390425521,0.0643310569196255,146.115118285362,-0.938805328785568,0.349380002260933
